method,nh,np,rb,pc,pj,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,50,20,3.0,1,1,25,125,5,0,19.883
fastmultrec,50,20,3.0,1,1,25,125.0,5.0,0.0,0.092
insider_relax,50,20,3.0,1,1,25,125.0,5.0,0.0,0.029
lca,50,20,3.0,1,1,25,125.0,5.0,0.0,0.020
segdup,50,20,3.0,1,1,25,125,5,0,5.109
fastmultrec,50,20,3.0,1,1,25,125.0,5.0,0.0,0.030
insider_relax,50,20,3.0,1,1,25,125.0,5.0,0.0,0.011
lca,50,20,3.0,1,1,25,125.0,5.0,0.0,0.009
segdup,50,20,3.0,1,1,25,200,8,0,2.940
fastmultrec,50,20,3.0,1,1,25,200.0,8.0,0.0,0.038
insider_relax,50,20,3.0,1,1,25,200.0,8.0,0.0,0.016
lca,50,20,3.0,1,1,25,200.0,8.0,0.0,0.011
segdup,50,20,3.0,1,1,25,175,7,0,3.212
fastmultrec,50,20,3.0,1,1,25,175.0,7.0,0.0,0.034
insider_relax,50,20,3.0,1,1,25,175.0,7.0,0.0,0.013
lca,50,20,3.0,1,1,25,175.0,7.0,0.0,0.008
segdup,50,20,3.0,1,1,25,175,7,0,54.322
fastmultrec,50,20,3.0,1,1,25,175.0,7.0,0.0,0.199
insider_relax,50,20,3.0,1,1,25,175.0,7.0,0.0,0.071
lca,50,20,3.0,1,1,25,175.0,7.0,0.0,0.045
segdup,50,20,3.0,1,1,25,225,9,0,7.372
fastmultrec,50,20,3.0,1,1,25,225.0,9.0,0.0,0.061
insider_relax,50,20,3.0,1,1,25,225.0,9.0,0.0,0.022
lca,50,20,3.0,1,1,25,225.0,9.0,0.0,0.015
segdup,50,20,3.0,1,1,25,200,8,0,240.939
fastmultrec,50,20,3.0,1,1,25,200.0,8.0,0.0,1.156
insider_relax,50,20,3.0,1,1,25,200.0,8.0,0.0,0.312
lca,50,20,3.0,1,1,25,200.0,8.0,0.0,0.178
segdup,50,20,3.0,1,1,25,50,2,0,4.905
fastmultrec,50,20,3.0,1,1,25,50.0,2.0,0.0,0.088
insider_relax,50,20,3.0,1,1,25,50.0,2.0,0.0,0.029
lca,50,20,3.0,1,1,25,50.0,2.0,0.0,0.019
segdup,50,20,3.0,1,1,25,75,3,0,7.010
fastmultrec,50,20,3.0,1,1,25,75.0,3.0,0.0,0.027
insider_relax,50,20,3.0,1,1,25,75.0,3.0,0.0,0.011
lca,50,20,3.0,1,1,25,75.0,3.0,0.0,0.010
segdup,50,20,3.0,1,1,25,275,11,0,23.032
fastmultrec,50,20,3.0,1,1,25,275.0,11.0,0.0,0.131
insider_relax,50,20,3.0,1,1,25,275.0,11.0,0.0,0.051
lca,50,20,3.0,1,1,25,275.0,11.0,0.0,0.034
segdup,50,20,3.0,1,1,5,55,11,0,36.330
fastmultrec,50,20,3.0,1,1,5,55.0,11.0,0.0,0.281
insider_relax,50,20,3.0,1,1,5,55.0,11.0,0.0,0.074
lca,50,20,3.0,1,1,5,55.0,11.0,0.0,0.062
segdup,50,20,3.0,1,1,5,60,12,0,44.809
fastmultrec,50,20,3.0,1,1,5,60.0,12.0,0.0,0.128
insider_relax,50,20,3.0,1,1,5,60.0,12.0,0.0,0.047
lca,50,20,3.0,1,1,5,60.0,12.0,0.0,0.034
segdup,50,20,3.0,1,1,5,60,12,0,940.052
fastmultrec,50,20,3.0,1,1,5,60.0,12.0,0.0,2.720
insider_relax,50,20,3.0,1,1,5,60.0,12.0,0.0,0.477
lca,50,20,3.0,1,1,5,60.0,12.0,0.0,0.391
segdup,50,20,3.0,1,1,5,45,9,0,194.382
fastmultrec,50,20,3.0,1,1,5,45.0,9.0,0.0,0.759
insider_relax,50,20,3.0,1,1,5,45.0,9.0,0.0,0.195
lca,50,20,3.0,1,1,5,45.0,9.0,0.0,0.123
segdup,50,20,3.0,1,1,5,35,7,0,15.821
fastmultrec,50,20,3.0,1,1,5,35.0,7.0,0.0,0.077
insider_relax,50,20,3.0,1,1,5,35.0,7.0,0.0,0.028
lca,50,20,3.0,1,1,5,35.0,7.0,0.0,0.019
segdup,50,20,3.0,1,1,5,20,4,0,16.194
fastmultrec,50,20,3.0,1,1,5,20.0,4.0,0.0,0.058
insider_relax,50,20,3.0,1,1,5,20.0,4.0,0.0,0.021
lca,50,20,3.0,1,1,5,20.0,4.0,0.0,0.012
segdup,50,20,3.0,1,1,5,20,4,0,29.981
fastmultrec,50,20,3.0,1,1,5,20.0,4.0,0.0,0.079
insider_relax,50,20,3.0,1,1,5,20.0,4.0,0.0,0.025
lca,50,20,3.0,1,1,5,20.0,4.0,0.0,0.017
segdup,50,20,3.0,1,1,5,30,6,0,38.873
fastmultrec,50,20,3.0,1,1,5,30.0,6.0,0.0,0.128
insider_relax,50,20,3.0,1,1,5,30.0,6.0,0.0,0.039
lca,50,20,3.0,1,1,5,30.0,6.0,0.0,0.027
segdup,50,20,3.0,1,1,5,40,8,0,16.169
fastmultrec,50,20,3.0,1,1,5,40.0,8.0,0.0,0.053
insider_relax,50,20,3.0,1,1,5,40.0,8.0,0.0,0.019
lca,50,20,3.0,1,1,5,40.0,8.0,0.0,0.016
segdup,50,20,3.0,1,1,5,20,4,0,31.656
fastmultrec,50,20,3.0,1,1,5,20.0,4.0,0.0,0.056
insider_relax,50,20,3.0,1,1,5,20.0,4.0,0.0,0.021
lca,50,20,3.0,1,1,5,20.0,4.0,0.0,0.016
segdup,50,20,3.0,1,1,10,60,6,0,44.664
fastmultrec,50,20,3.0,1,1,10,60.0,6.0,0.0,0.111
insider_relax,50,20,3.0,1,1,10,60.0,6.0,0.0,0.041
lca,50,20,3.0,1,1,10,60.0,6.0,0.0,0.026
segdup,50,20,3.0,1,1,10,80,8,0,134.195
fastmultrec,50,20,3.0,1,1,10,80.0,8.0,0.0,0.321
insider_relax,50,20,3.0,1,1,10,80.0,8.0,0.0,0.094
lca,50,20,3.0,1,1,10,80.0,8.0,0.0,0.058
segdup,50,20,3.0,1,1,10,100,10,0,21.617
fastmultrec,50,20,3.0,1,1,10,100.0,10.0,0.0,0.072
insider_relax,50,20,3.0,1,1,10,100.0,10.0,0.0,0.023
lca,50,20,3.0,1,1,10,100.0,10.0,0.0,0.015
segdup,50,20,3.0,1,1,10,60,6,0,30.734
fastmultrec,50,20,3.0,1,1,10,60.0,6.0,0.0,0.204
insider_relax,50,20,3.0,1,1,10,60.0,6.0,0.0,0.070
lca,50,20,3.0,1,1,10,60.0,6.0,0.0,0.043
segdup,50,20,3.0,1,1,10,140,14,0,6128.145
fastmultrec,50,20,3.0,1,1,10,140.0,14.0,0.0,166.658
insider_relax,50,20,3.0,1,1,10,35.0,7.0,0.0,1.206
lca,50,20,3.0,1,1,10,140.0,14.0,0.0,6.530
segdup,50,20,3.0,1,1,10,100,10,0,12.905
fastmultrec,50,20,3.0,1,1,10,100.0,10.0,0.0,0.051
insider_relax,50,20,3.0,1,1,10,100.0,10.0,0.0,0.019
lca,50,20,3.0,1,1,10,100.0,10.0,0.0,0.013
segdup,50,20,3.0,1,1,10,70,7,0,80.268
fastmultrec,50,20,3.0,1,1,10,70.0,7.0,0.0,0.199
insider_relax,50,20,3.0,1,1,10,70.0,7.0,0.0,0.073
lca,50,20,3.0,1,1,10,70.0,7.0,0.0,0.045
segdup,50,20,3.0,1,1,10,50,5,0,47.021
fastmultrec,50,20,3.0,1,1,10,50.0,5.0,0.0,0.183
insider_relax,50,20,3.0,1,1,10,50.0,5.0,0.0,0.068
lca,50,20,3.0,1,1,10,50.0,5.0,0.0,0.041
segdup,50,20,3.0,1,1,10,90,9,0,57.366
fastmultrec,50,20,3.0,1,1,10,90.0,9.0,0.0,0.278
insider_relax,50,20,3.0,1,1,10,90.0,9.0,0.0,0.087
lca,50,20,3.0,1,1,10,90.0,9.0,0.0,0.057
segdup,50,20,3.0,1,1,10,80,8,0,559.831
fastmultrec,50,20,3.0,1,1,10,80.0,8.0,0.0,0.731
insider_relax,50,20,3.0,1,1,10,80.0,8.0,0.0,0.268
lca,50,20,3.0,1,1,10,80.0,8.0,0.0,0.161
segdup,50,20,3.0,1,1,15,105,7,0,37.271
fastmultrec,50,20,3.0,1,1,15,105.0,7.0,0.0,0.153
insider_relax,50,20,3.0,1,1,15,105.0,7.0,0.0,0.045
lca,50,20,3.0,1,1,15,105.0,7.0,0.0,0.031
segdup,50,20,3.0,1,1,15,135,9,0,9.942
fastmultrec,50,20,3.0,1,1,15,135.0,9.0,0.0,0.090
insider_relax,50,20,3.0,1,1,15,135.0,9.0,0.0,0.029
lca,50,20,3.0,1,1,15,135.0,9.0,0.0,0.021
segdup,50,20,3.0,1,1,15,150,10,0,27.011
fastmultrec,50,20,3.0,1,1,15,150.0,10.0,0.0,0.120
insider_relax,50,20,3.0,1,1,15,150.0,10.0,0.0,0.036
lca,50,20,3.0,1,1,15,150.0,10.0,0.0,0.026
segdup,50,20,3.0,1,1,15,90,6,0,9.789
fastmultrec,50,20,3.0,1,1,15,90.0,6.0,0.0,0.043
insider_relax,50,20,3.0,1,1,15,90.0,6.0,0.0,0.018
lca,50,20,3.0,1,1,15,90.0,6.0,0.0,0.013
segdup,50,20,3.0,1,1,15,150,10,0,66.170
fastmultrec,50,20,3.0,1,1,15,150.0,10.0,0.0,0.223
insider_relax,50,20,3.0,1,1,15,150.0,10.0,0.0,0.077
lca,50,20,3.0,1,1,15,150.0,10.0,0.0,0.054
segdup,50,20,3.0,1,1,15,105,7,0,59.567
fastmultrec,50,20,3.0,1,1,15,105.0,7.0,0.0,0.389
insider_relax,50,20,3.0,1,1,15,105.0,7.0,0.0,0.121
lca,50,20,3.0,1,1,15,105.0,7.0,0.0,0.069
segdup,50,20,3.0,1,1,15,105,7,0,90.350
fastmultrec,50,20,3.0,1,1,15,105.0,7.0,0.0,0.368
insider_relax,50,20,3.0,1,1,15,105.0,7.0,0.0,0.120
lca,50,20,3.0,1,1,15,105.0,7.0,0.0,0.075
segdup,50,20,3.0,1,1,15,75,5,0,44.743
fastmultrec,50,20,3.0,1,1,15,75.0,5.0,0.0,0.121
insider_relax,50,20,3.0,1,1,15,75.0,5.0,0.0,0.044
lca,50,20,3.0,1,1,15,75.0,5.0,0.0,0.028
segdup,50,20,3.0,1,1,15,45,3,0,1.126
fastmultrec,50,20,3.0,1,1,15,45.0,3.0,0.0,0.025
insider_relax,50,20,3.0,1,1,15,45.0,3.0,0.0,0.010
lca,50,20,3.0,1,1,15,45.0,3.0,0.0,0.008
segdup,50,20,3.0,1,1,15,165,11,0,693.157
fastmultrec,50,20,3.0,1,1,15,165.0,11.0,0.0,1.255
insider_relax,50,20,3.0,1,1,15,165.0,11.0,0.0,0.379
lca,50,20,3.0,1,1,15,165.0,11.0,0.0,0.221
segdup,50,20,3.0,1,1,20,160,8,0,187.264
fastmultrec,50,20,3.0,1,1,20,160.0,8.0,0.0,0.839
insider_relax,50,20,3.0,1,1,20,160.0,8.0,0.0,0.240
lca,50,20,3.0,1,1,20,160.0,8.0,0.0,0.146
segdup,50,20,3.0,1,1,20,80,4,0,6.156
fastmultrec,50,20,3.0,1,1,20,80.0,4.0,0.0,0.071
insider_relax,50,20,3.0,1,1,20,80.0,4.0,0.0,0.020
lca,50,20,3.0,1,1,20,80.0,4.0,0.0,0.014
segdup,50,20,3.0,1,1,20,200,10,0,353.067
fastmultrec,50,20,3.0,1,1,20,200.0,10.0,0.0,1.087
insider_relax,50,20,3.0,1,1,20,200.0,10.0,0.0,0.343
lca,50,20,3.0,1,1,20,200.0,10.0,0.0,0.190
segdup,50,20,3.0,1,1,20,140,7,0,65.444
fastmultrec,50,20,3.0,1,1,20,140.0,7.0,0.0,0.336
insider_relax,50,20,3.0,1,1,20,140.0,7.0,0.0,0.110
lca,50,20,3.0,1,1,20,140.0,7.0,0.0,0.062
segdup,50,20,3.0,1,1,20,120,6,0,5.864
fastmultrec,50,20,3.0,1,1,20,120.0,6.0,0.0,0.038
insider_relax,50,20,3.0,1,1,20,120.0,6.0,0.0,0.014
lca,50,20,3.0,1,1,20,120.0,6.0,0.0,0.008
segdup,50,20,3.0,1,1,20,140,7,0,125.978
fastmultrec,50,20,3.0,1,1,20,140.0,7.0,0.0,0.434
insider_relax,50,20,3.0,1,1,20,140.0,7.0,0.0,0.158
lca,50,20,3.0,1,1,20,140.0,7.0,0.0,0.098
segdup,50,20,3.0,1,1,20,120,6,0,89.264
fastmultrec,50,20,3.0,1,1,20,120.0,6.0,0.0,0.216
insider_relax,50,20,3.0,1,1,20,120.0,6.0,0.0,0.072
lca,50,20,3.0,1,1,20,120.0,6.0,0.0,0.048
segdup,50,20,3.0,1,1,20,100,5,0,17.165
fastmultrec,50,20,3.0,1,1,20,100.0,5.0,0.0,0.105
insider_relax,50,20,3.0,1,1,20,100.0,5.0,0.0,0.034
lca,50,20,3.0,1,1,20,100.0,5.0,0.0,0.023
segdup,50,20,3.0,1,1,20,180,9,0,279.197
fastmultrec,50,20,3.0,1,1,20,180.0,9.0,0.0,1.394
insider_relax,50,20,3.0,1,1,20,180.0,9.0,0.0,0.407
lca,50,20,3.0,1,1,20,180.0,9.0,0.0,0.229
segdup,50,20,3.0,1,1,20,160,8,0,86.474
fastmultrec,50,20,3.0,1,1,20,160.0,8.0,0.0,0.418
insider_relax,50,20,3.0,1,1,20,160.0,8.0,0.0,0.128
lca,50,20,3.0,1,1,20,160.0,8.0,0.0,0.080
segdup,50,20,3.0,1,0.5,25,200,8,0,15.545
fastmultrec,50,20,3.0,1,0.5,25,200.0,8.0,0.0,0.076
insider_relax,50,20,3.0,1,0.5,25,200.0,8.0,0.0,0.025
lca,50,20,3.0,1,0.5,25,200.0,8.0,0.0,0.018
segdup,50,20,3.0,1,0.5,25,125,5,0,8.059
fastmultrec,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.036
insider_relax,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.017
lca,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.010
segdup,50,20,3.0,1,0.5,25,125,5,0,4.792
fastmultrec,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.036
insider_relax,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.014
lca,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.008
segdup,50,20,3.0,1,0.5,25,250,10,0,150.946
fastmultrec,50,20,3.0,1,0.5,25,250.0,10.0,0.0,0.297
insider_relax,50,20,3.0,1,0.5,25,250.0,10.0,0.0,0.115
lca,50,20,3.0,1,0.5,25,250.0,10.0,0.0,0.069
segdup,50,20,3.0,1,0.5,25,225,9,0,7.087
fastmultrec,50,20,3.0,1,0.5,25,225.0,9.0,0.0,0.060
insider_relax,50,20,3.0,1,0.5,25,225.0,9.0,0.0,0.024
lca,50,20,3.0,1,0.5,25,225.0,9.0,0.0,0.016
segdup,50,20,3.0,1,0.5,25,125,5,0,15.119
fastmultrec,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.062
insider_relax,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.022
lca,50,20,3.0,1,0.5,25,125.0,5.0,0.0,0.017
segdup,50,20,3.0,1,0.5,25,200,8,0,18.923
fastmultrec,50,20,3.0,1,0.5,25,200.0,8.0,0.0,0.108
insider_relax,50,20,3.0,1,0.5,25,200.0,8.0,0.0,0.042
lca,50,20,3.0,1,0.5,25,200.0,8.0,0.0,0.030
segdup,50,20,3.0,1,0.5,25,300,12,0,11.196
fastmultrec,50,20,3.0,1,0.5,25,300.0,12.0,0.0,0.049
insider_relax,50,20,3.0,1,0.5,25,300.0,12.0,0.0,0.022
lca,50,20,3.0,1,0.5,25,300.0,12.0,0.0,0.013
segdup,50,20,3.0,1,0.5,25,150,6,0,14.701
fastmultrec,50,20,3.0,1,0.5,25,150.0,6.0,0.0,0.062
insider_relax,50,20,3.0,1,0.5,25,150.0,6.0,0.0,0.022
lca,50,20,3.0,1,0.5,25,150.0,6.0,0.0,0.015
segdup,50,20,3.0,1,0.5,25,100,4,0,4.378
fastmultrec,50,20,3.0,1,0.5,25,100.0,4.0,0.0,0.029
insider_relax,50,20,3.0,1,0.5,25,100.0,4.0,0.0,0.011
lca,50,20,3.0,1,0.5,25,100.0,4.0,0.0,0.007
segdup,50,20,3.0,1,0.5,5,75,15,0,187.969
fastmultrec,50,20,3.0,1,0.5,5,75.0,15.0,0.0,0.295
insider_relax,50,20,3.0,1,0.5,5,75.0,15.0,0.0,0.108
lca,50,20,3.0,1,0.5,5,75.0,15.0,0.0,0.063
segdup,50,20,3.0,1,0.5,5,15,3,0,6.219
fastmultrec,50,20,3.0,1,0.5,5,15.0,3.0,0.0,0.026
insider_relax,50,20,3.0,1,0.5,5,15.0,3.0,0.0,0.010
lca,50,20,3.0,1,0.5,5,15.0,3.0,0.0,0.007
segdup,50,20,3.0,1,0.5,5,75,15,0,16.714
fastmultrec,50,20,3.0,1,0.5,5,75.0,15.0,0.0,0.055
insider_relax,50,20,3.0,1,0.5,5,75.0,15.0,0.0,0.021
lca,50,20,3.0,1,0.5,5,75.0,15.0,0.0,0.016
segdup,50,20,3.0,1,0.5,5,40,8,0,118.309
fastmultrec,50,20,3.0,1,0.5,5,40.0,8.0,0.0,0.275
insider_relax,50,20,3.0,1,0.5,5,40.0,8.0,0.0,0.091
lca,50,20,3.0,1,0.5,5,40.0,8.0,0.0,0.054
segdup,50,20,3.0,1,0.5,5,25,5,0,18.385
fastmultrec,50,20,3.0,1,0.5,5,25.0,5.0,0.0,0.058
insider_relax,50,20,3.0,1,0.5,5,25.0,5.0,0.0,0.022
lca,50,20,3.0,1,0.5,5,25.0,5.0,0.0,0.013
segdup,50,20,3.0,1,0.5,5,35,7,0,110.756
fastmultrec,50,20,3.0,1,0.5,5,35.0,7.0,0.0,0.223
insider_relax,50,20,3.0,1,0.5,5,35.0,7.0,0.0,0.072
lca,50,20,3.0,1,0.5,5,35.0,7.0,0.0,0.044
segdup,50,20,3.0,1,0.5,5,35,7,0,12.884
fastmultrec,50,20,3.0,1,0.5,5,35.0,7.0,0.0,0.047
insider_relax,50,20,3.0,1,0.5,5,35.0,7.0,0.0,0.017
lca,50,20,3.0,1,0.5,5,35.0,7.0,0.0,0.011
segdup,50,20,3.0,1,0.5,5,20,4,0,5.579
fastmultrec,50,20,3.0,1,0.5,5,20.0,4.0,0.0,0.030
insider_relax,50,20,3.0,1,0.5,5,20.0,4.0,0.0,0.011
lca,50,20,3.0,1,0.5,5,20.0,4.0,0.0,0.008
segdup,50,20,3.0,1,0.5,5,25,5,0,2.310
fastmultrec,50,20,3.0,1,0.5,5,25.0,5.0,0.0,0.046
insider_relax,50,20,3.0,1,0.5,5,25.0,5.0,0.0,0.015
lca,50,20,3.0,1,0.5,5,25.0,5.0,0.0,0.010
segdup,50,20,3.0,1,0.5,5,30,6,0,1.871
fastmultrec,50,20,3.0,1,0.5,5,30.0,6.0,0.0,0.033
insider_relax,50,20,3.0,1,0.5,5,30.0,6.0,0.0,0.014
lca,50,20,3.0,1,0.5,5,30.0,6.0,0.0,0.009
segdup,50,20,3.0,1,0.5,10,40,4,0,10.046
fastmultrec,50,20,3.0,1,0.5,10,40.0,4.0,0.0,0.043
insider_relax,50,20,3.0,1,0.5,10,40.0,4.0,0.0,0.014
lca,50,20,3.0,1,0.5,10,40.0,4.0,0.0,0.010
segdup,50,20,3.0,1,0.5,10,50,5,0,5.363
fastmultrec,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.035
insider_relax,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.015
lca,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.010
segdup,50,20,3.0,1,0.5,10,50,5,0,7.895
fastmultrec,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.037
insider_relax,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.015
lca,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.009
segdup,50,20,3.0,1,0.5,10,80,8,0,23.199
fastmultrec,50,20,3.0,1,0.5,10,80.0,8.0,0.0,0.064
insider_relax,50,20,3.0,1,0.5,10,80.0,8.0,0.0,0.021
lca,50,20,3.0,1,0.5,10,80.0,8.0,0.0,0.016
segdup,50,20,3.0,1,0.5,10,90,9,0,13.318
fastmultrec,50,20,3.0,1,0.5,10,90.0,9.0,0.0,0.059
insider_relax,50,20,3.0,1,0.5,10,90.0,9.0,0.0,0.020
lca,50,20,3.0,1,0.5,10,90.0,9.0,0.0,0.014
segdup,50,20,3.0,1,0.5,10,80,8,0,33.882
fastmultrec,50,20,3.0,1,0.5,10,80.0,8.0,0.0,0.098
insider_relax,50,20,3.0,1,0.5,10,80.0,8.0,0.0,0.034
lca,50,20,3.0,1,0.5,10,80.0,8.0,0.0,0.023
segdup,50,20,3.0,1,0.5,10,100,10,0,16.389
fastmultrec,50,20,3.0,1,0.5,10,100.0,10.0,0.0,0.074
insider_relax,50,20,3.0,1,0.5,10,100.0,10.0,0.0,0.024
lca,50,20,3.0,1,0.5,10,100.0,10.0,0.0,0.018
segdup,50,20,3.0,1,0.5,10,90,9,0,90.369
fastmultrec,50,20,3.0,1,0.5,10,90.0,9.0,0.0,0.182
insider_relax,50,20,3.0,1,0.5,10,90.0,9.0,0.0,0.063
lca,50,20,3.0,1,0.5,10,90.0,9.0,0.0,0.038
segdup,50,20,3.0,1,0.5,10,50,5,0,8.019
fastmultrec,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.048
insider_relax,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.016
lca,50,20,3.0,1,0.5,10,50.0,5.0,0.0,0.013
segdup,50,20,3.0,1,0.5,10,60,6,0,9.923
fastmultrec,50,20,3.0,1,0.5,10,60.0,6.0,0.0,0.030
insider_relax,50,20,3.0,1,0.5,10,60.0,6.0,0.0,0.013
lca,50,20,3.0,1,0.5,10,60.0,6.0,0.0,0.009
segdup,50,20,3.0,1,0.5,15,90,6,0,3.949
fastmultrec,50,20,3.0,1,0.5,15,90.0,6.0,0.0,0.027
insider_relax,50,20,3.0,1,0.5,15,90.0,6.0,0.0,0.011
lca,50,20,3.0,1,0.5,15,90.0,6.0,0.0,0.008
segdup,50,20,3.0,1,0.5,15,90,6,0,12.905
fastmultrec,50,20,3.0,1,0.5,15,90.0,6.0,0.0,0.035
insider_relax,50,20,3.0,1,0.5,15,90.0,6.0,0.0,0.016
lca,50,20,3.0,1,0.5,15,90.0,6.0,0.0,0.010
segdup,50,20,3.0,1,0.5,15,195,13,0,29.326
fastmultrec,50,20,3.0,1,0.5,15,195.0,13.0,0.0,0.083
insider_relax,50,20,3.0,1,0.5,15,195.0,13.0,0.0,0.032
lca,50,20,3.0,1,0.5,15,195.0,13.0,0.0,0.022
segdup,50,20,3.0,1,0.5,15,120,8,0,102.752
fastmultrec,50,20,3.0,1,0.5,15,120.0,8.0,0.0,0.190
insider_relax,50,20,3.0,1,0.5,15,120.0,8.0,0.0,0.075
lca,50,20,3.0,1,0.5,15,120.0,8.0,0.0,0.046
segdup,50,20,3.0,1,0.5,15,60,4,0,5.861
fastmultrec,50,20,3.0,1,0.5,15,60.0,4.0,0.0,0.036
insider_relax,50,20,3.0,1,0.5,15,60.0,4.0,0.0,0.013
lca,50,20,3.0,1,0.5,15,60.0,4.0,0.0,0.009
segdup,50,20,3.0,1,0.5,15,180,12,0,5.780
fastmultrec,50,20,3.0,1,0.5,15,180.0,12.0,0.0,0.028
insider_relax,50,20,3.0,1,0.5,15,180.0,12.0,0.0,0.014
lca,50,20,3.0,1,0.5,15,180.0,12.0,0.0,0.008
segdup,50,20,3.0,1,0.5,15,135,9,0,24.492
fastmultrec,50,20,3.0,1,0.5,15,135.0,9.0,0.0,0.094
insider_relax,50,20,3.0,1,0.5,15,135.0,9.0,0.0,0.038
lca,50,20,3.0,1,0.5,15,135.0,9.0,0.0,0.023
segdup,50,20,3.0,1,0.5,15,75,5,0,6.476
fastmultrec,50,20,3.0,1,0.5,15,75.0,5.0,0.0,0.033
insider_relax,50,20,3.0,1,0.5,15,75.0,5.0,0.0,0.013
lca,50,20,3.0,1,0.5,15,75.0,5.0,0.0,0.008
segdup,50,20,3.0,1,0.5,15,105,7,0,7.312
fastmultrec,50,20,3.0,1,0.5,15,105.0,7.0,0.0,0.045
insider_relax,50,20,3.0,1,0.5,15,105.0,7.0,0.0,0.015
lca,50,20,3.0,1,0.5,15,105.0,7.0,0.0,0.009
segdup,50,20,3.0,1,0.5,15,165,11,0,52.378
fastmultrec,50,20,3.0,1,0.5,15,165.0,11.0,0.0,0.127
insider_relax,50,20,3.0,1,0.5,15,165.0,11.0,0.0,0.043
lca,50,20,3.0,1,0.5,15,165.0,11.0,0.0,0.028
segdup,50,20,3.0,1,0.5,20,100,5,0,5.996
fastmultrec,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.042
insider_relax,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.015
lca,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.010
segdup,50,20,3.0,1,0.5,20,100,5,0,6.961
fastmultrec,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.095
insider_relax,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.032
lca,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.022
segdup,50,20,3.0,1,0.5,20,100,5,0,7.562
fastmultrec,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.038
insider_relax,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.015
lca,50,20,3.0,1,0.5,20,100.0,5.0,0.0,0.010
segdup,50,20,3.0,1,0.5,20,120,6,0,8.085
fastmultrec,50,20,3.0,1,0.5,20,120.0,6.0,0.0,0.034
insider_relax,50,20,3.0,1,0.5,20,120.0,6.0,0.0,0.015
lca,50,20,3.0,1,0.5,20,120.0,6.0,0.0,0.009
segdup,50,20,3.0,1,0.5,20,200,10,0,18.346
fastmultrec,50,20,3.0,1,0.5,20,200.0,10.0,0.0,0.062
insider_relax,50,20,3.0,1,0.5,20,200.0,10.0,0.0,0.022
lca,50,20,3.0,1,0.5,20,200.0,10.0,0.0,0.016
segdup,50,20,3.0,1,0.5,20,220,11,0,114.346
fastmultrec,50,20,3.0,1,0.5,20,220.0,11.0,0.0,0.303
insider_relax,50,20,3.0,1,0.5,20,220.0,11.0,0.0,0.093
lca,50,20,3.0,1,0.5,20,220.0,11.0,0.0,0.059
segdup,50,20,3.0,1,0.5,20,260,13,0,223.097
fastmultrec,50,20,3.0,1,0.5,20,260.0,13.0,0.0,0.506
insider_relax,50,20,3.0,1,0.5,20,260.0,13.0,0.0,0.171
lca,50,20,3.0,1,0.5,20,260.0,13.0,0.0,0.096
segdup,50,20,3.0,1,0.5,20,80,4,0,3.949
fastmultrec,50,20,3.0,1,0.5,20,80.0,4.0,0.0,0.033
insider_relax,50,20,3.0,1,0.5,20,80.0,4.0,0.0,0.011
lca,50,20,3.0,1,0.5,20,80.0,4.0,0.0,0.009
segdup,50,20,3.0,1,0.5,20,80,4,0,8.905
fastmultrec,50,20,3.0,1,0.5,20,80.0,4.0,0.0,0.044
insider_relax,50,20,3.0,1,0.5,20,80.0,4.0,0.0,0.014
lca,50,20,3.0,1,0.5,20,80.0,4.0,0.0,0.010
segdup,50,20,3.0,1,0.5,20,120,6,0,13.421
fastmultrec,50,20,3.0,1,0.5,20,120.0,6.0,0.0,0.057
insider_relax,50,20,3.0,1,0.5,20,120.0,6.0,0.0,0.021
lca,50,20,3.0,1,0.5,20,120.0,6.0,0.0,0.012
segdup,50,20,3.0,1,0.8,25,425,17,0,234.613
fastmultrec,50,20,3.0,1,0.8,25,425.0,17.0,0.0,0.849
insider_relax,50,20,3.0,1,0.8,25,425.0,17.0,0.0,0.262
lca,50,20,3.0,1,0.8,25,425.0,17.0,0.0,0.152
